id,title,sorting_category,funfact,display_value,unit,sorting_value
W01,Electron,Weight,The lightest particle; it would take zillions to weigh a gram.,1.00E+00,yoctogram,9.10E-31
W02,Influenza Virus,Weight,"Viruses are so small they are barely considered ""alive.""",1.00E+00,femtogram,1.00E-19
W03,Human DNA Cell,Weight,All the instructions for a human in one tiny package.,6.00E+00,nanograms,6.00E-12
W04,Grain of Sand,Weight,A medium grain of silica beach sand.,50,micrograms,0.00005
W05,Raindrop,Weight,Typical mass of a droplet falling from a cloud.,200,milligrams,0.0002
W06,Mosquito,Weight,Most of its weight is the blood it just drank!,3,milligrams,0.0000025
W07,US Penny,Weight,A standard zinc-plated coin.,3,grams,0.0025
W08,Hummingbird,Weight,The Bee Hummingbird is lighter than a penny.,2,grams,0.002
W09,AA Battery,Weight,The standard power source for toys.,23,grams,0.023
W10,Tennis Ball,Weight,Hollow rubber covered in felt.,58,grams,0.058
W11,Smartphone,Weight,It gets heavier every year with bigger batteries.,200,grams,0.2
W12,Human Heart,Weight,"It beats 100,000 times a day.",300,grams,0.3
W13,Basketball,Weight,Inflated to standard pressure.,620,grams,0.62
W14,Human Brain,Weight,It feels no pain itself.,1.4,kg,1.4
W15,Chihuahua,Weight,"Small dog, big attitude.",2,kg,2
W16,Domestic Cat,Weight,Spend 70% of their lives sleeping.,5,kg,4.5
W17,Bald Eagle,Weight,"Its nest can weigh 1 ton, but the bird is light.",6,kg,6.3
W18,Car Tire,Weight,Steel belts make them surprisingly heavy.,10,kg,10
W19,Gold Bar,Weight,They are much denser and heavier than they look in movies.,12,kg,12.4
W20,Microwave Oven,Weight,The magnetron inside is the heavy part.,15,kg,15
W21,Emperor Penguin,Weight,They rely on blubber to survive Antarctic winters.,35,kg,35
W22,Average Human,Weight,The global average adult weight.,62,kg,62
W23,Washing Machine,Weight,Filled with concrete weights to stop it shaking.,75,kg,75
W24,Ostrich,Weight,One kick can kill a lion.,110,kg,110
W25,Lion,Weight,The King of the Jungle.,190,kg,190
